,departure_time,arrival_time,duration,price,number_of_stops
0,2023-10-22 07:40:00,2023-10-22 09:20:00,0 days 02:40:00,91.0,0
1,2023-10-22 09:20:00,2023-10-23 09:10:00,0 days 12:50:00,84.0,1
2,2023-10-22 01:40:00,2023-10-22 03:15:00,0 days 02:35:00,172.0,0
3,2023-10-22 04:55:00,2023-10-22 06:35:00,0 days 02:40:00,196.0,0
4,2023-10-22 06:10:00,2023-10-22 07:45:00,0 days 02:35:00,204.0,0
5,2023-10-22 07:00:00,2023-10-22 11:00:00,0 days 05:00:00,187.0,1
6,2023-10-22 09:00:00,2023-10-22 06:30:00,0 days 10:30:00,133.0,1
7,2023-10-22 06:10:00,2023-10-22 10:00:00,0 days 04:50:00,194.0,1
8,2023-10-22 12:45:00,2023-10-22 04:00:00,0 days 04:15:00,219.0,1
9,2023-10-22 06:10:00,2023-10-22 11:00:00,0 days 05:50:00,194.0,1
10,2023-10-22 06:20:00,2023-10-22 11:25:00,0 days 06:05:00,209.0,1
11,2023-10-22 07:25:00,2023-10-22 11:15:00,0 days 04:50:00,236.0,1
12,2023-10-22 12:45:00,2023-10-22 06:00:00,0 days 06:15:00,219.0,1
13,2023-10-22 02:00:00,2023-10-22 06:40:00,0 days 05:40:00,255.0,1
14,2023-10-22 06:10:00,2023-10-22 09:45:00,0 days 04:35:00,344.0,1
15,2023-10-22 07:00:00,2023-10-22 01:35:00,0 days 07:35:00,207.0,1
16,2023-10-22 08:10:00,2023-10-22 12:30:00,0 days 05:20:00,270.0,1
17,2023-10-22 10:55:00,2023-10-22 03:35:00,0 days 05:40:00,325.0,1
18,2023-10-22 06:10:00,2023-10-22 01:00:00,0 days 07:50:00,219.0,1
19,2023-10-22 10:55:00,2023-10-22 03:35:00,0 days 05:40:00,332.0,1
20,2023-10-22 12:45:00,2023-10-22 07:00:00,0 days 07:15:00,263.0,1
21,2023-10-22 02:00:00,2023-10-22 09:45:00,0 days 08:45:00,224.0,1
22,2023-10-22 10:50:00,2023-10-22 06:40:00,0 days 08:50:00,227.0,1
23,2023-10-22 10:40:00,2023-10-22 03:10:00,0 days 05:30:00,320.0,1
24,2023-10-22 12:50:00,2023-10-22 07:45:00,0 days 07:55:00,273.0,1
25,2023-10-22 04:00:00,2023-10-22 10:40:00,0 days 07:40:00,324.0,1
26,2023-10-22 06:10:00,2023-10-22 03:00:00,0 days 09:50:00,233.0,1
27,2023-10-22 10:50:00,2023-10-22 05:15:00,0 days 07:25:00,316.0,1
28,2023-10-22 06:10:00,2023-10-22 04:00:00,0 days 10:50:00,233.0,1
29,2023-10-22 04:00:00,2023-10-23 12:05:00,0 days 09:05:00,230.0,1
30,2023-10-22 10:55:00,2023-10-22 03:35:00,0 days 05:40:00,587.0,1
31,2023-10-22 10:55:00,2023-10-22 04:00:00,0 days 06:05:00,296.0,2
32,2023-10-22 11:30:00,2023-10-22 05:20:00,0 days 06:50:00,298.0,1
33,2023-10-22 09:15:00,2023-10-22 03:00:00,0 days 06:45:00,300.0,1
34,2023-10-22 10:55:00,2023-10-22 07:45:00,0 days 09:50:00,215.0,2
35,2023-10-22 06:10:00,2023-10-22 12:00:00,0 days 06:50:00,418.0,1
36,2023-10-22 12:45:00,2023-10-22 08:00:00,0 days 08:15:00,307.0,1
37,2023-10-22 12:45:00,2023-10-22 10:00:00,0 days 10:15:00,261.0,1
38,2023-10-22 10:55:00,2023-10-22 06:55:00,0 days 09:00:00,325.0,1
39,2023-10-22 11:25:00,2023-10-22 06:45:00,0 days 08:20:00,429.0,1
40,2023-10-22 02:10:00,2023-10-22 09:05:00,0 days 07:55:00,244.0,2
41,2023-10-22 10:55:00,2023-10-22 06:00:00,0 days 08:05:00,270.0,2
42,2023-10-22 10:55:00,2023-10-22 06:55:00,0 days 09:00:00,390.0,1
43,2023-10-22 02:10:00,2023-10-22 10:40:00,0 days 09:30:00,291.0,2
44,2023-10-22 10:55:00,2023-10-22 07:45:00,0 days 09:50:00,272.0,2
45,2023-10-22 12:50:00,2023-10-22 07:05:00,0 days 07:15:00,378.0,2
46,2023-10-22 10:55:00,2023-10-22 07:00:00,0 days 09:05:00,303.0,2
47,2023-10-22 12:50:00,2023-10-22 09:50:00,0 days 10:00:00,307.0,2
48,2023-10-22 09:00:00,2023-10-22 05:20:00,0 days 09:20:00,279.0,2
49,2023-10-22 12:45:00,2023-10-22 06:40:00,0 days 06:55:00,485.0,2
