,departure_time,arrival_time,duration,price,number_of_stops
0,2023-10-22 07:40:00,2023-10-22 09:20:00,0 days 02:40:00,94.0,0
1,2023-10-22 21:20:00,2023-10-22 09:10:00,0 days 12:50:00,76.0,1
2,2023-10-22 13:40:00,2023-10-22 15:15:00,0 days 02:35:00,182.0,0
3,2023-10-22 09:00:00,2023-10-22 18:30:00,0 days 10:30:00,132.0,1
4,2023-10-22 16:55:00,2023-10-22 18:35:00,0 days 02:40:00,195.0,0
5,2023-10-22 07:00:00,2023-10-22 11:00:00,0 days 05:00:00,194.0,1
6,2023-10-22 18:10:00,2023-10-22 19:45:00,0 days 02:35:00,217.0,0
7,2023-10-22 05:25:00,2023-10-22 18:30:00,0 days 14:05:00,132.0,1
8,2023-10-22 12:45:00,2023-10-22 16:00:00,0 days 04:15:00,218.0,1
9,2023-10-22 07:00:00,2023-10-22 13:35:00,0 days 07:35:00,194.0,1
10,2023-10-22 06:10:00,2023-10-22 10:00:00,0 days 04:50:00,218.0,1
11,2023-10-22 10:55:00,2023-10-22 16:00:00,0 days 06:05:00,209.0,2
12,2023-10-22 07:25:00,2023-10-22 11:15:00,0 days 04:50:00,224.0,1
13,2023-10-22 06:10:00,2023-10-22 11:00:00,0 days 05:50:00,218.0,1
14,2023-10-22 12:45:00,2023-10-22 18:00:00,0 days 06:15:00,218.0,1
15,2023-10-22 06:20:00,2023-10-22 11:25:00,0 days 06:05:00,223.0,1
16,2023-10-22 14:00:00,2023-10-22 18:40:00,0 days 05:40:00,228.0,1
17,2023-10-22 10:55:00,2023-10-22 18:00:00,0 days 08:05:00,209.0,2
18,2023-10-22 12:45:00,2023-10-22 19:00:00,0 days 07:15:00,218.0,1
19,2023-10-22 09:00:00,2023-10-22 09:10:00,1 days 01:10:00,77.0,1
20,2023-10-22 06:10:00,2023-10-22 13:00:00,0 days 07:50:00,218.0,1
21,2023-10-22 10:55:00,2023-10-22 19:45:00,0 days 09:50:00,214.0,2
22,2023-10-22 10:55:00,2023-10-22 19:45:00,0 days 09:50:00,214.0,2
23,2023-10-22 07:00:00,2023-10-22 18:40:00,0 days 12:40:00,193.0,1
24,2023-10-22 08:10:00,2023-10-22 12:30:00,0 days 05:20:00,255.0,1
25,2023-10-22 14:00:00,2023-10-22 21:45:00,0 days 08:45:00,228.0,1
26,2023-10-22 10:55:00,2023-10-22 21:00:00,0 days 11:05:00,210.0,2
27,2023-10-22 21:45:00,2023-10-22 07:55:00,0 days 11:10:00,213.0,1
28,2023-10-22 10:55:00,2023-10-22 22:00:00,0 days 12:05:00,209.0,2
29,2023-10-22 12:50:00,2023-10-22 19:45:00,0 days 07:55:00,243.0,1
30,2023-10-22 20:20:00,2023-10-22 08:30:00,0 days 13:10:00,202.0,1
31,2023-10-22 21:20:00,2023-10-22 18:30:00,0 days 22:10:00,132.0,1
32,2023-10-22 23:40:00,2023-10-22 14:45:00,0 days 16:05:00,184.0,2
33,2023-10-22 23:00:00,2023-10-22 14:45:00,0 days 16:45:00,181.0,2
34,2023-10-22 23:40:00,2023-10-22 19:10:00,0 days 20:30:00,155.0,1
35,2023-10-22 07:00:00,2023-10-22 21:45:00,0 days 15:45:00,193.0,1
36,2023-10-22 10:55:00,2023-10-22 15:35:00,0 days 05:40:00,274.0,1
37,2023-10-22 23:00:00,2023-10-22 19:10:00,0 days 21:10:00,153.0,1
38,2023-10-22 10:50:00,2023-10-22 21:45:00,0 days 11:55:00,227.0,1
39,2023-10-22 06:10:00,2023-10-22 15:00:00,0 days 09:50:00,249.0,1
40,2023-10-22 21:20:00,2023-10-22 07:35:00,0 days 11:15:00,239.0,1
41,2023-10-22 12:45:00,2023-10-22 22:00:00,0 days 10:15:00,249.0,1
42,2023-10-22 17:10:00,2023-10-22 08:30:00,0 days 16:20:00,202.0,1
43,2023-10-22 06:20:00,2023-10-22 19:15:00,0 days 13:55:00,223.0,1
44,2023-10-22 06:10:00,2023-10-22 16:00:00,0 days 10:50:00,249.0,1
45,2023-10-22 10:50:00,2023-10-22 18:40:00,0 days 08:50:00,266.0,1
46,2023-10-22 17:10:00,2023-10-22 07:30:00,0 days 15:20:00,215.0,2
47,2023-10-22 20:45:00,2023-10-22 07:35:00,0 days 11:50:00,244.0,1
48,2023-10-22 08:10:00,2023-10-22 13:35:00,0 days 06:25:00,288.0,1
49,2023-10-22 23:50:00,2023-10-22 09:40:00,0 days 10:50:00,254.0,2
